,by,descendants,id,kids,score,time,title,type,url,text
20,wglb,22.0,38838459,"[38849621, 38845777, 38851101, 38847827, 38847991, 38848932, 38846909]",87,1704173450,New study shows Small Magellanic Cloud is two smaller galaxies,story,https://phys.org/news/2023-12-small-magellanic-cloud-smaller-galaxies.html,
21,attractivechaos,73.0,38850651,"[38851954, 38851002, 38851038, 38851414, 38851700, 38851263, 38851120, 38851060, 38851575, 38851623, 38851239, 38851491, 38850957, 38851210, 38851230, 38851169, 38851055, 38851102, 38851517, 38851323, 38850948, 38851625, 38850997, 38851325]",64,1704255184,Benchmarking 20 programming languages on N-queens and matrix multiplication,story,https://github.com/attractivechaos/plb2,
22,franze,38.0,38841302,"[38851866, 38851474, 38851361, 38850825, 38850751, 38850005, 38851306]",50,1704201373,Microsoft Copilot iOS App,story,https://apps.apple.com/at/app/microsoft-copilot/id6472538445,
23,ingve,15.0,38830767,"[38831427, 38831055, 38851705, 38850895, 38830959, 38831547, 38831509, 38851448, 38850857]",53,1704102772,Taligent's Guide to Designing Programs [pdf] (1994),story,https://bitsavers.org/pdf/apple/mac/pink/Taligent_-_Taligents_Guide_to_Designing_Programs_1994.pdf,
24,anarbadalov,11.0,38838661,"[38851957, 38851961, 38851683, 38838912, 38850865, 38851530, 38851039]",33,1704175727,Benjamín Labatut Will Not Be Profiled,story,https://lithub.com/benjamin-labatut-will-not-be-profiled/,
25,082349872349872,7.0,38841284,"[38849307, 38841307, 38850020, 38849257, 38851645, 38849790, 38849591, 38845071]",53,1704201268,Lolwut: A piece of art inside a database command (2018),story,http://antirez.com/news/123,
26,jstanley,8.0,38841288,[38850137],24,1704201273,The Duplex watch escapement,story,https://www.thenakedwatchmaker.com/blog/2021/6/21/a-special-escapement,
27,mmphosis,13.0,38846955,"[38847767, 38851056, 38847669, 38848733, 38851276, 38849556, 38848815, 38848162, 38847766, 38850933, 38849792]",55,1704228384,Apple II Emulation Evaluation (2022),story,https://juiced.gs/emulators/,
28,whoishiring,262.0,38842977,"[38851927, 38851921, 38851932, 38851062, 38844766, 38850620, 38844096, 38846500, 38851665, 38851525, 38848085, 38851648, 38851502, 38850458, 38844796, 38849650, 38848527, 38848524, 38851421, 38845693, 38851338, 38846510, 38846640, 38846462, 38846362, 38844879, 38843203, 38844529, 38851429, 38848490, 38850609, 38847837, 38844690, 38850227, 38847855, 38850304, 38847503, 38850800, 38846501, 38846001, 38846848, 38849956, 38845799, 38845143, 38845105, 38848037, 38845474, 38849683, 38849437, 38844097, 38844989, 38849365, 38849158, 38843072, 38850457, 38849457, 38844012, 38848958, 38851072, 38848644, 38844723, 38844101, 38850216, 38843629, 38844539, 38847626, 38843469, 38843574, 38847762, 38847802, 38848455, 38848005, 38847574, 38846121, 38846649, 38849159, 38844968, 38848235, 38847627, 38848070, 38847308, 38849116, 38845561, 38848409, 38848615, 38847634, 38848867, 38845751, 38849754, 38847664, 38845478, 38851629, 38847023, 38845349, 38845987, 38845609, 38847672, 38848038, 38847943, 38846202, 38846985, 38845012, 38844823, 38846480, 38847431, 38845646, 38843965, 38846521, 38847270, 38846106, 38847856, 38844764, 38846959, 38847375, 38845780, 38843670, 38844194, 38844918, 38844870, 38844643, 38845613, 38843156, 38844910, 38848717, 38845134, 38843029, 38845811, 38844806, 38847944, 38846232, 38846074, 38844587, 38843377, 38845096, 38843759, 38847576, 38846318, 38845914, 38849043, 38851450, 38846442, 38848642, 38845153, 38844574, 38847075, 38846683, 38846634, 38843978, 38844951, 38845930, 38843692, 38845227, 38848539, 38847487, 38845117, 38851600, 38849666, 38851307, 38843009, 38843027, 38844128, 38848796, 38848282, 38846159, 38845537, 38843350, 38843305, 38846422, 38848324, 38849145, 38843480, 38846669, 38847223, 38847293, 38845785, 38847054, 38847438, 38847450, 38847428, 38847425, 38845600, 38847258, 38846178, 38847444, 38844710, 38846175, 38846316, 38850018, 38843685]",334,1704211278,Ask HN: Who is hiring? (January 2024),story,,"Please state the location and include REMOTE, INTERNS and&#x2F;or VISA
when that sort of candidate is welcome. When remote work is <i>not</i> an option,
include ONSITE.<p>Please only post if you personally are part of the hiring company—no
recruiting firms or job boards. One post per company. If it isn&#x27;t a household name,
explain what your company does.<p>Commenters: please don&#x27;t reply to job posts to complain about
something. It&#x27;s off topic here.<p>Readers: please only email if you are personally interested in the job.<p>Searchers: try <a href=""https:&#x2F;&#x2F;www.remotenbs.com"" rel=""nofollow"">https:&#x2F;&#x2F;www.remotenbs.com</a>, <a href=""https:&#x2F;&#x2F;hnjobs.u-turn.dev"" rel=""nofollow"">https:&#x2F;&#x2F;hnjobs.u-turn.dev</a>, <a href=""https:&#x2F;&#x2F;hnresumetojobs.com"" rel=""nofollow"">https:&#x2F;&#x2F;hnresumetojobs.com</a>,
<a href=""https:&#x2F;&#x2F;hnhired.fly.dev"" rel=""nofollow"">https:&#x2F;&#x2F;hnhired.fly.dev</a>, <a href=""https:&#x2F;&#x2F;kennytilton.github.io&#x2F;whoishiring&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;kennytilton.github.io&#x2F;whoishiring&#x2F;</a>, <a href=""https:&#x2F;&#x2F;hnjobs.emilburzo.com"" rel=""nofollow"">https:&#x2F;&#x2F;hnjobs.emilburzo.com</a>.<p>Don&#x27;t miss these other fine threads:<p><i>Who wants to be hired?</i> <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=38842975"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=38842975</a><p><i>Freelancer? Seeking freelancer?</i> <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=38842976"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=38842976</a>"
29,taviso,36.0,38838723,"[38843877, 38851180, 38841835, 38842276, 38841334, 38850142, 38844912, 38842787, 38849082, 38843945, 38841649]",152,1704176240,Hiew Hex Editor,story,https://lock.cmpxchg8b.com/hiew.html,
